date,Gangnamgu,Gangdonggu,Gangbukgu,Gangseogu,Gwanakgu,Gwangjingu,Gurogu,Geumcheongu,Nowongu,Dobonggu,Dongdaemungu,Dongjakgu,Mapogu,Seodaemungu,Seochogu,Seongdonggu,Seongbukgu,Songpagu,Yangcheongu,Yeongdeungpogu,Yongsangu,Eunpyeonggu,Jongnogu,Junggu,Jungnanggu
2016080101,0,42,36,37,36,42,34,41,33,32,32,27,25,23,25,37,48,31,37,36,41,27,31,29,26
2016080102,0,45,38,35,46,43,38,44,32,35,37,29,32,28,44,40,39,39,44,38,44,31,33,27,37
2016080103,0,43,40,36,48,44,43,45,33,36,37,30,43,31,43,37,48,37,47,44,41,29,34,32,39
2016080104,0,40,41,37,44,46,35,48,34,35,41,33,43,36,43,43,47,39,46,41,43,29,38,38,34
2016080105,0,48,42,31,38,50,34,47,38,34,41,34,44,37,22,36,46,38,49,32,44,33,37,31,43
2016080106,0,38,41,30,46,56,41,46,39,39,35,29,44,31,40,38,46,35,44,39,45,34,37,28,37
2016080107,0,46,42,32,46,54,35,47,36,31,40,31,42,31,49,45,44,35,45,35,46,39,41,41,37
2016080108,0,40,41,36,49,50,35,51,36,40,40,31,41,35,33,42,48,45,41,22,42,26,36,39,30
2016080109,0,45,40,28,46,45,19,45,29,31,30,31,44,33,32,37,42,41,42,24,40,22,36,43,35
2016080110,0,36,47,0,46,41,22,32,32,35,36,29,45,29,40,38,41,40,41,23,48,24,39,37,27
2016080111,0,43,39,0,47,46,38,32,31,29,39,33,36,30,25,50,41,42,38,26,35,27,35,31,26
2016080112,0,41,32,23,46,41,28,42,24,19,18,34,28,27,39,41,26,38,20,25,27,21,28,26,43
2016080113,0,42,20,21,38,45,25,38,21,27,25,21,29,23,0,22,23,39,22,30,23,30,25,29,
2016080114,0,47,25,28,42,37,27,39,22,26,29,30,30,37,33,27,31,37,20,37,22,34,27,0,
2016080115,0,36,23,30,36,31,45,31,28,29,25,27,31,28,39,49,38,36,23,29,44,26,29,0,41
2016080116,0,43,25,38,35,44,36,27,26,30,37,24,33,25,33,48,40,36,27,38,38,29,30,33,47
2016080117,0,41,27,34,31,41,23,26,26,38,36,29,32,32,30,40,37,0,26,38,34,33,29,32,24
2016080118,0,43,27,17,30,38,29,22,23,32,29,24,26,28,26,35,33,31,23,32,29,28,27,23,32
2016080119,9,27,28,14,26,38,22,19,25,27,20,19,26,31,24,20,35,20,21,20,30,26,23,27,38
2016080120,15,35,25,0,35,27,28,22,25,35,25,19,29,27,17,32,22,26,21,37,26,28,21,17,32
2016080121,32,24,18,42,29,26,39,25,25,30,27,23,30,42,15,0,19,28,21,49,27,20,19,28,26
2016080122,28,33,26,32,28,33,28,27,23,32,23,24,27,37,0,32,35,33,23,45,27,26,21,32,25
2016080123,44,31,28,35,34,32,29,31,22,30,23,23,25,22,0,34,35,28,27,33,36,25,24,24,38
2016080124,35,31,31,36,37,29,32,31,25,36,32,26,26,25,32,38,44,31,31,37,33,14,25,20,27
2016080201,29,0,31,35,32,34,29,27,27,28,36,23,30,23,17,29,42,34,36,30,33,32,26,20,23
2016080202,37,40,32,33,35,32,28,28,27,33,30,23,26,17,13,34,29,34,32,24,30,37,28,26,33
2016080203,33,33,30,32,30,34,22,32,28,31,27,24,31,28,15,32,35,39,32,29,35,27,30,25,32
2016080204,35,31,30,32,35,36,34,31,30,29,32,26,35,26,24,30,39,40,33,28,34,28,31,32,31
2016080205,38,35,31,25,35,36,33,33,33,28,32,26,31,27,18,27,35,30,36,32,37,36,31,27,26
2016080206,26,34,30,37,34,36,29,34,32,33,32,24,36,21,16,38,37,28,35,28,33,22,31,34,34
2016080207,32,36,32,0,35,35,24,34,34,32,28,26,36,28,26,28,40,27,34,32,39,28,31,26,29
2016080208,35,38,35,44,31,38,27,36,31,32,37,26,32,24,24,33,42,30,36,29,33,20,33,26,34
2016080209,41,27,34,0,28,41,16,26,25,32,30,19,26,18,25,36,40,31,30,11,36,9,34,12,25
2016080210,57,43,28,29,38,41,21,29,20,23,21,27,34,21,25,31,34,32,30,26,34,22,27,34,28
2016080211,29,23,24,19,31,31,18,24,14,17,24,24,31,23,20,24,26,27,27,13,27,19,26,33,
2016080212,24,35,23,0,33,36,21,24,20,26,21,23,35,25,24,32,26,28,23,20,27,25,22,22,37
2016080213,29,33,23,0,29,35,22,30,14,22,29,23,31,16,21,29,28,26,25,29,30,26,22,26,37
2016080214,23,22,19,0,29,30,27,29,15,21,26,20,28,0,22,28,24,28,26,0,26,15,25,26,29
2016080215,28,22,18,37,34,31,33,29,17,21,34,23,25,0,15,26,27,28,24,0,32,25,28,20,25
2016080216,32,28,19,47,33,27,46,31,18,18,27,26,29,0,17,0,31,28,31,42,37,25,28,25,26
2016080217,32,31,16,14,35,34,26,34,24,24,25,31,30,36,23,0,38,28,16,26,28,38,33,40,34
2016080218,43,32,13,40,34,27,30,30,16,23,23,31,28,20,31,0,30,29,28,41,35,25,24,28,16
2016080219,24,23,12,48,18,19,27,21,8,17,28,29,24,30,10,0,19,14,20,37,22,17,25,46,25
2016080220,11,15,15,21,21,13,18,17,14,17,18,16,23,23,24,19,23,3,17,21,30,18,27,24,30
2016080221,18,18,10,23,29,18,11,19,11,17,7,21,27,19,15,34,21,17,23,23,30,22,13,29,9
2016080222,23,19,8,21,30,19,27,26,13,24,13,23,26,13,27,33,21,24,22,37,31,18,13,26,22
2016080223,18,19,14,24,27,20,30,29,13,16,17,20,26,20,21,26,23,18,20,29,27,25,18,24,22
2016080224,23,27,17,36,29,25,30,29,15,25,20,21,21,20,24,39,26,25,22,35,32,23,16,20,28
2016080301,30,27,14,35,26,23,34,26,15,29,24,20,25,20,12,26,29,21,23,31,27,27,22,24,30
2016080302,25,28,18,39,27,21,30,22,17,26,25,23,25,24,17,24,30,22,25,30,35,28,20,32,29
2016080303,27,22,15,41,28,21,25,26,18,20,25,24,23,30,21,25,30,20,23,30,27,27,21,26,32
2016080304,25,24,19,29,29,23,33,25,18,30,22,27,21,29,16,21,30,21,24,36,32,34,21,27,26
2016080305,23,27,21,32,28,26,29,28,18,28,25,26,22,29,20,28,33,22,19,29,35,25,20,24,22
2016080306,25,28,22,23,27,26,26,28,18,27,26,21,23,23,16,25,31,22,22,32,29,30,21,30,27
2016080307,28,27,21,38,26,27,29,28,23,28,24,20,25,24,23,29,40,19,23,32,30,24,21,28,27
2016080308,29,24,20,17,27,26,26,27,14,24,19,17,28,26,18,13,21,32,22,23,22,3,20,25,16
2016080309,28,27,22,0,29,27,30,22,12,22,28,17,30,20,19,28,34,27,22,26,28,24,25,33,15
2016080310,28,31,24,16,26,0,30,24,15,28,26,17,30,27,28,28,35,30,23,15,22,30,23,26,20
2016080311,36,31,21,0,23,0,32,24,16,21,24,17,28,35,27,28,27,29,21,29,22,38,24,32,24
2016080312,22,25,19,23,26,40,0,21,16,21,34,26,30,32,36,26,29,32,24,25,25,22,23,38,18
2016080313,23,29,18,31,21,28,0,23,18,27,20,24,33,32,27,33,28,27,33,33,25,26,25,40,30
2016080314,22,20,24,0,29,23,0,22,17,36,29,21,31,39,24,16,30,24,26,45,27,33,29,50,
2016080315,32,31,20,25,29,24,43,25,16,25,45,29,39,35,37,34,37,24,31,42,35,35,31,33,
2016080316,37,24,25,43,45,29,42,39,16,18,42,30,34,33,54,0,39,21,31,37,0,34,31,33,49
2016080317,40,49,15,42,34,33,43,37,23,28,36,33,33,38,45,31,40,32,29,41,0,21,31,42,55
2016080318,42,45,22,51,38,36,38,39,19,29,24,34,31,34,46,46,24,44,28,37,34,28,29,32,30
2016080319,41,43,21,0,47,31,47,43,17,26,30,34,29,28,27,29,27,31,25,30,32,27,26,29,40
2016080320,49,26,20,29,50,26,51,35,17,33,30,34,32,32,47,39,40,25,27,51,41,25,26,35,36
2016080321,55,32,23,47,46,36,46,31,18,26,29,31,32,41,36,0,18,36,26,50,40,50,26,34,40
2016080322,45,48,22,38,41,40,49,34,18,24,37,30,32,41,40,51,36,53,24,43,37,45,28,35,39
2016080323,47,33,22,31,38,34,40,35,22,25,37,30,29,34,35,39,42,37,24,43,33,28,31,33,45
2016080324,41,41,26,26,35,36,34,37,22,33,32,30,36,39,26,37,46,31,24,45,37,36,32,41,39
2016080401,40,49,28,25,41,37,38,40,23,32,33,29,36,36,38,42,39,33,25,46,39,30,31,35,53
2016080402,40,53,28,44,43,44,43,38,25,36,34,31,35,33,31,31,35,36,34,48,35,41,26,32,49
2016080403,49,51,29,50,46,47,44,34,26,35,43,30,34,34,32,43,42,37,38,40,38,41,31,37,40
2016080404,48,41,32,39,34,40,44,36,27,34,40,30,45,37,30,35,45,37,34,41,41,33,36,37,36
2016080405,42,31,34,43,43,36,35,38,29,33,38,30,37,32,31,29,37,37,36,39,40,31,29,31,30
2016080406,31,38,33,52,40,31,40,38,32,34,23,31,35,36,25,30,35,33,39,38,34,36,28,26,24
2016080407,45,31,26,50,44,30,45,38,34,30,22,31,32,21,28,43,27,38,44,31,38,30,26,26,25
2016080408,38,27,20,47,40,34,45,43,26,19,23,33,34,23,36,16,32,34,42,30,30,13,24,22,20
2016080409,47,35,24,29,55,57,53,43,15,24,22,34,34,13,28,47,28,42,42,37,37,19,28,32,20
2016080410,49,39,28,29,51,45,53,52,18,25,31,37,42,34,30,52,38,46,45,37,40,39,29,32,29
2016080411,52,43,25,27,35,44,39,45,20,28,38,30,40,32,36,49,36,39,36,41,35,33,33,39,38
2016080412,34,36,25,41,35,39,32,33,17,21,35,33,35,28,28,35,34,38,27,37,36,26,27,24,32
2016080413,22,28,21,32,35,27,29,31,19,31,0,29,31,30,13,29,28,25,29,35,32,24,23,30,22
2016080414,16,17,21,46,30,26,35,29,17,31,39,30,32,29,17,15,0,22,28,46,25,32,24,28,17
2016080415,20,21,0,39,34,16,37,26,15,0,30,26,34,26,0,18,0,19,27,29,24,38,0,20,
2016080416,19,17,0,51,23,18,21,0,11,0,24,21,34,28,15,15,27,18,30,37,24,54,0,31,
2016080417,21,21,10,0,23,8,34,0,,15,22,21,30,20,0,17,13,16,25,27,21,0,20,23,9
2016080418,15,24,12,0,24,16,42,15,0,15,23,21,27,15,25,16,26,25,23,31,15,40,19,21,21
2016080419,31,34,14,0,43,21,60,46,14,25,27,29,24,23,24,40,25,19,27,28,28,37,20,26,33
2016080420,34,29,22,15,53,24,58,45,19,30,35,26,27,27,25,28,32,27,29,39,36,0,23,38,42
