date,Gangnam-gu,Gangdong-gu,Gangbuk-gu,Gangseo-gu,Gwanak-gu,Gwangjin-gu,Guro-gu,Geumcheon-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Dongjak-gu,Mapo-gu,Seodaemun-gu,Seocho-gu,Seongdong-gu,Seongbuk-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu
2016120101,34,38,34,25,42,37,46,36,41,30,33,29,41,37,30,26,0,29,41,36,38,33,37,33,48
2016120102,45,56,54,58,51,41,46,41,69,73,50,40,53,50,51,40,0,28,55,53,49,60,48,46,53
2016120103,62,62,74,78,67,60,71,63,84,96,65,55,73,72,70,50,0,38,73,83,71,69,65,62,71
2016120104,91,85,98,107,98,80,88,82,99,113,83,79,93,101,90,75,0,55,97,104,91,97,86,80,95
2016120105,130,108,102,113,83,104,134,109,97,107,106,97,106,149,120,107,0,81,104,123,102,115,105,100,112
2016120106,129,132,91,105,77,106,104,100,87,95,113,93,85,124,102,120,0,94,85,107,89,98,95,96,118
2016120107,104,126,79,102,72,93,94,83,79,100,97,76,78,107,97,100,0,85,77,95,82,112,89,88,116
2016120108,87,112,77,90,75,87,89,80,77,86,85,80,77,100,89,87,0,72,79,86,73,111,83,79,106
2016120109,95,100,76,92,69,84,93,77,74,85,78,81,78,106,92,87,0,68,86,104,72,89,78,79,94
2016120110,97,90,68,82,66,81,87,73,69,77,78,77,77,107,80,74,0,71,76,95,77,98,77,84,80
2016120111,92,106,62,60,50,77,79,70,61,67,79,74,76,0,75,98,0,73,62,0,63,77,71,78,88
2016120112,51,75,30,35,26,44,30,38,28,36,47,44,60,0,47,43,0,40,32,0,29,33,37,44,47
2016120113,29,57,18,31,22,27,22,19,20,24,32,31,35,0,32,31,0,23,29,48,22,29,29,26,51
2016120114,29,0,11,22,23,25,0,18,19,23,28,28,22,25,27,30,0,23,28,37,24,26,27,24,31
2016120115,24,30,17,24,20,29,30,19,17,20,29,33,20,25,25,39,0,26,24,49,22,20,25,30,29
2016120116,26,39,16,23,22,28,21,18,21,27,36,27,22,33,0,36,0,28,22,30,21,34,20,24,24
2016120117,28,35,22,31,0,26,28,23,17,29,30,27,25,31,0,38,0,26,26,35,19,33,29,23,34
2016120118,40,35,19,33,0,25,29,27,20,29,27,25,24,33,35,26,22,23,29,34,25,30,31,24,26
2016120119,28,35,20,28,27,29,33,25,17,25,26,23,24,32,20,25,31,27,22,36,24,28,28,26,27
2016120120,35,26,19,24,28,24,29,24,16,24,18,22,23,25,22,36,29,20,22,38,19,23,26,24,25
