date,Gangnam-gu,Gangdong-gu,Gangbuk-gu,Gangseo-gu,Gwanak-gu,Gwangjin-gu,Guro-gu,Geumcheon-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Dongjak-gu,Mapo-gu,Seodaemun-gu,Seocho-gu,Seongdong-gu,Seongbuk-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu
2016010101,100,82,79,100,103,98,87,96,76,71,99,77,78,83,106,102,81,86,0,110,71,65,84,77,80
2016010102,103,97,65,113,99,95,74,92,73,65,100,67,79,76,93,95,91,91,0,124,81,57,89,70,90
2016010103,89,88,68,107,116,101,76,88,75,68,89,46,79,80,99,99,78,77,0,108,80,76,81,75,86
2016010104,91,90,77,101,89,96,83,80,72,83,88,51,73,85,99,95,75,77,0,101,74,91,88,77,88
2016010105,87,80,79,78,87,95,65,73,75,79,84,55,75,89,86,80,81,73,0,109,71,83,86,83,80
2016010106,83,82,81,81,70,92,66,68,78,77,80,64,76,83,95,103,85,72,0,110,72,75,85,72,78
2016010107,93,72,72,84,72,89,71,74,76,68,78,69,75,109,92,95,72,63,0,102,72,70,84,72,74
2016010108,93,68,82,82,74,88,87,79,76,74,81,76,73,104,94,92,80,57,0,96,68,76,85,68,74
2016010109,89,67,80,76,78,91,77,80,79,76,76,78,74,97,94,90,77,57,0,105,72,75,86,83,78
2016010110,89,75,85,72,76,87,74,76,78,69,75,89,74,88,91,85,81,68,0,88,72,73,84,92,79
2016010111,86,70,0,70,76,100,79,82,81,76,75,75,78,90,86,89,91,83,0,94,82,67,89,92,72
2016010112,93,75,0,76,76,95,72,86,86,80,84,71,79,82,92,99,88,78,0,95,78,73,91,88,86
2016010113,97,87,89,88,71,95,66,75,83,68,99,65,74,81,95,87,80,80,0,87,70,62,86,80,83
2016010114,89,95,80,77,59,85,55,55,70,61,80,53,54,70,87,66,71,63,0,93,51,42,65,52,81
2016010115,73,81,68,48,44,67,32,46,53,72,56,46,47,49,64,51,54,44,59,72,51,45,52,52,61
2016010116,44,62,0,33,45,70,33,48,52,62,55,31,47,36,46,68,65,41,44,43,45,56,50,40,58
2016010117,28,68,53,28,46,74,27,50,52,54,38,45,35,36,53,56,43,48,46,47,38,47,43,28,52
2016010118,42,67,47,33,47,77,32,47,50,40,32,37,36,37,57,53,32,52,44,41,43,44,42,32,42
2016010119,49,71,0,37,53,78,31,45,48,54,46,39,40,41,59,67,48,49,55,60,40,48,49,43,43
2016010120,52,72,0,47,46,82,31,44,57,60,42,39,40,52,45,55,70,57,54,65,36,41,44,36,44
2016010121,59,79,0,40,42,83,37,40,60,62,36,35,37,69,54,70,67,64,46,56,37,42,41,35,40
2016010122,47,76,0,41,37,79,34,35,61,64,33,25,33,41,44,56,64,65,53,38,36,31,41,44,34
2016010123,41,75,0,32,35,70,29,35,64,57,36,41,28,39,45,48,63,45,40,40,32,30,40,38,31
2016010124,42,57,0,33,31,61,28,35,62,61,30,25,28,34,42,52,61,34,35,45,32,30,36,37,48
2016010201,38,40,77,41,42,52,36,37,58,55,62,25,29,40,42,47,79,31,35,54,33,35,38,34,42
2016010202,39,47,73,40,50,44,30,36,54,68,74,42,30,32,35,46,69,30,37,38,28,33,37,32,37
2016010203,34,36,68,33,43,45,28,36,48,66,65,33,30,35,37,36,56,25,36,42,28,38,44,34,36
