date,Gangnamgu,Gangdonggu,Gangbukgu,Gangseogu,Gwanakgu,Gwangjingu,Gurogu,Geumcheongu,Nowongu,Dobonggu,Dongdaemungu,Dongjakgu,Mapogu,Seodaemungu,Seochogu,Seongdonggu,Seongbukgu,Songpagu,Yangcheongu,Yeongdeungpogu,Yongsangu,Eunpyeonggu,Jongnogu,Junggu,Jungnanggu
2016070101,38,33,77,32,55,36,0,48,55,48,39,33,54,48,35,38,38,32,42,65,39,60,31,39,42
2016070102,39,46,83,0,52,43,0,43,52,54,48,36,46,50,44,42,42,34,47,44,40,54,33,44,52
2016070103,19,42,57,27,33,38,0,28,48,45,40,23,32,28,20,28,33,29,37,31,29,39,27,28,37
2016070104,17,20,34,28,42,22,0,33,32,21,27,24,35,23,15,16,26,17,32,17,34,26,10,18,20
2016070105,25,36,45,25,43,33,0,41,36,32,38,31,47,31,0,31,31,30,41,36,41,29,24,32,26
2016070106,16,19,50,25,27,32,0,25,35,33,20,19,31,24,15,21,32,15,39,19,26,38,15,22,30
2016070107,12,27,22,15,25,26,0,22,24,18,15,16,23,19,15,14,24,25,22,15,23,15,8,14,21
2016070108,27,19,26,25,27,29,0,26,25,22,20,19,25,19,17,25,19,23,25,17,24,16,14,20,23
2016070109,17,24,34,27,22,25,0,23,24,23,23,17,26,0,22,26,34,21,28,18,22,17,15,24,19
2016070110,11,22,26,22,21,22,0,17,21,16,12,12,23,28,13,29,23,15,19,13,22,23,10,22,15
2016070111,14,13,21,0,23,24,0,16,16,15,10,10,22,19,12,16,28,18,18,12,18,15,9,21,11
2016070112,15,24,17,29,20,20,0,20,15,17,19,13,25,19,20,30,11,18,18,0,20,20,12,20,14
2016070113,26,27,25,18,26,22,0,22,20,21,30,14,28,27,30,28,24,21,21,0,28,29,19,33,40
2016070114,35,33,39,26,27,24,0,23,30,32,37,16,31,27,41,37,34,22,26,35,29,38,23,27,39
2016070115,28,37,34,33,28,27,0,19,21,23,26,16,30,20,35,30,24,20,28,38,27,25,27,29,29
2016070116,17,15,37,0,18,27,0,15,22,19,14,13,22,18,15,23,33,16,21,27,24,32,22,24,18
2016070117,6,10,4,9,14,11,0,9,8,10,8,4,11,0,10,8,3,10,10,12,16,4,6,6,8
2016070118,7,6,8,12,14,13,0,11,8,10,6,5,14,7,5,13,5,6,12,16,16,13,7,10,3
2016070119,7,9,8,8,16,11,0,13,7,14,7,5,15,6,3,12,7,10,11,21,15,13,7,12,7
2016070120,6,4,5,0,20,11,0,9,6,6,6,4,12,8,0,7,7,4,10,26,13,15,8,13,6
2016070121,6,4,2,11,19,8,0,10,5,3,3,4,13,3,14,7,7,6,7,27,13,0,7,7,6
2016070122,13,9,6,12,8,11,0,8,3,5,4,5,13,13,11,14,9,14,10,20,10,0,6,7,7
2016070123,13,5,3,8,10,8,0,8,2,2,11,4,11,5,11,7,10,4,8,15,13,0,5,9,14
2016070124,5,4,2,13,13,8,0,14,0,4,0,4,7,4,3,8,7,10,6,9,9,0,1,8,4
2016070201,5,7,2,9,20,6,0,22,0,9,8,9,12,0,8,7,2,7,5,23,13,0,3,3,
2016070202,11,17,1,13,13,14,0,24,2,8,13,15,21,0,13,17,4,17,11,19,25,0,10,14,15
2016070203,10,16,4,3,6,15,0,12,5,13,13,8,10,9,7,15,2,13,9,13,17,0,8,8,17
2016070204,8,10,9,8,11,13,0,11,7,10,7,6,10,7,5,6,7,9,6,10,12,0,1,10,10
2016070205,7,8,13,11,17,11,0,13,8,13,7,8,9,5,11,8,4,17,5,5,8,0,3,4,3
2016070206,10,1,11,19,11,11,0,9,9,13,8,5,9,9,6,7,11,13,6,6,11,0,4,12,3
2016070207,4,8,2,0,9,9,0,4,5,10,4,3,8,0,4,10,4,9,3,0,9,0,,4,8
2016070208,9,9,1,0,9,8,0,6,2,5,7,3,10,0,2,7,9,9,7,7,10,0,2,3,6
2016070209,2,7,1,0,18,10,0,11,0,2,0,5,14,14,14,13,5,4,14,11,13,0,3,8,6
2016070210,9,8,1,12,16,11,0,13,4,1,9,8,21,9,5,5,14,13,15,11,20,0,19,11,
2016070211,13,17,6,15,15,18,0,11,2,5,22,5,19,17,13,23,17,12,12,15,14,0,21,16,23
2016070212,8,10,10,0,13,11,0,11,10,17,11,4,15,11,6,9,19,10,10,3,15,0,7,11,13
2016070213,9,9,9,8,20,11,0,15,7,16,11,8,15,15,10,8,16,7,11,21,20,0,8,15,11
2016070214,12,19,4,0,20,16,0,13,6,6,15,11,16,15,14,17,13,20,9,8,19,0,12,18,15
2016070215,16,16,8,18,21,15,0,14,9,16,13,9,17,9,14,17,16,15,11,17,19,0,14,21,12
2016070216,18,16,8,8,16,17,0,15,10,19,20,13,22,11,13,18,11,21,13,18,19,0,18,17,19
2016070217,17,28,14,10,22,20,0,12,10,13,15,12,18,11,19,20,19,21,14,20,19,0,12,15,24
2016070218,24,26,10,0,25,21,0,18,11,16,19,14,21,18,22,26,21,25,14,23,21,0,14,18,22
2016070219,32,29,18,23,21,22,0,17,16,22,26,18,23,23,25,39,18,24,12,36,20,0,20,25,37
2016070220,26,31,15,27,25,22,0,17,18,21,17,12,18,17,18,27,25,20,13,20,19,0,15,22,27
2016070221,24,22,16,29,30,16,0,15,19,24,21,11,24,35,25,27,23,16,17,18,20,0,16,16,30
2016070222,27,20,16,13,29,18,0,14,18,30,17,13,17,19,24,23,17,21,16,29,19,0,13,21,29
2016070223,17,19,12,13,24,19,0,18,13,15,16,14,18,18,17,21,16,20,15,24,17,0,10,15,18
2016070224,18,16,12,28,21,17,0,21,14,12,13,14,21,23,18,21,16,15,13,18,19,0,12,16,17
2016070301,17,27,14,0,22,18,0,19,13,4,24,14,21,15,16,15,24,15,18,25,20,0,11,12,27
2016070302,23,23,13,29,29,16,0,21,13,18,16,17,22,22,17,15,29,15,20,19,18,0,11,16,24
2016070303,21,16,18,26,28,19,0,25,17,19,19,19,24,19,21,21,18,16,30,28,28,0,14,22,16
2016070304,22,19,27,39,35,22,0,25,18,18,23,22,30,28,20,22,22,18,30,26,29,0,16,23,23
2016070305,25,31,31,43,43,26,0,39,21,24,27,26,40,31,26,31,27,25,44,48,32,0,20,30,26
2016070306,30,28,35,50,63,27,0,54,31,33,37,45,44,39,38,31,44,20,58,46,36,0,27,34,32
2016070307,42,35,43,61,65,36,0,60,34,33,43,58,51,41,0,41,31,34,71,61,40,0,30,44,29
2016070308,42,37,48,50,72,38,0,66,37,40,40,58,60,58,0,47,36,43,70,54,47,0,38,51,36
2016070309,36,31,49,52,64,35,0,57,36,34,43,45,60,59,35,47,57,33,58,59,41,0,41,49,30
2016070310,39,42,50,47,60,35,0,49,36,41,35,41,49,58,44,46,47,43,49,54,41,0,37,43,40
2016070311,39,43,47,50,56,38,0,54,32,40,41,39,45,46,50,44,43,42,51,53,46,0,35,45,39
2016070312,54,51,47,56,51,46,0,51,32,44,43,34,48,47,53,56,55,53,54,67,51,0,38,51,52
2016070313,53,52,56,62,46,48,0,46,38,50,55,38,45,49,43,55,39,60,48,51,45,0,43,48,59
2016070314,49,65,58,39,44,47,0,42,44,53,46,36,42,45,47,52,54,50,45,50,44,0,39,54,60
2016070315,53,59,53,56,50,46,0,43,47,56,52,40,43,47,51,65,60,58,45,47,42,0,35,47,55
2016070316,51,40,50,50,51,45,0,48,43,48,43,45,43,43,54,48,51,52,44,44,49,0,44,47,51
2016070317,51,36,48,44,54,36,0,54,27,48,47,44,55,53,51,58,53,37,45,54,53,0,47,57,34
2016070318,28,41,27,42,54,27,0,47,24,33,34,46,44,46,42,40,37,38,44,59,44,0,31,48,36
2016070319,39,32,27,62,56,30,0,51,23,31,26,41,45,44,53,42,49,28,51,68,39,0,29,38,38
2016070320,40,40,35,67,55,29,0,49,30,42,39,40,45,50,35,49,56,34,60,74,36,0,31,44,52
2016070321,45,38,34,92,45,29,0,43,33,45,36,32,40,54,38,54,48,46,60,71,38,0,29,49,45
2016070322,50,45,39,80,46,31,0,37,29,41,42,32,36,50,46,54,22,42,68,55,40,0,34,47,44
2016070323,47,42,41,65,44,32,0,37,29,43,48,34,48,53,48,51,14,47,87,0,40,0,37,44,40
2016070324,49,49,47,69,45,35,0,41,32,33,42,40,43,47,42,50,37,40,96,0,42,0,39,45,43
2016070401,48,38,46,54,42,39,0,40,35,43,48,40,38,47,45,44,61,42,87,58,43,0,37,45,32
2016070402,45,48,45,47,43,38,0,43,35,42,46,38,38,42,44,38,49,34,57,30,39,0,31,34,40
