date,Gangnamgu,Gangdonggu,Gangbukgu,Gangseogu,Gwanakgu,Gwangjingu,Gurogu,Geumcheongu,Nowongu,Dobonggu,Dongdaemungu,Dongjakgu,Mapogu,Seodaemungu,Seochogu,Seongdonggu,Seongbukgu,Songpagu,Yangcheongu,Yeongdeungpogu,Yongsangu,Eunpyeonggu,Jongnogu,Junggu,Jungnanggu
2016060101,60,77,46,52,61,53,52,48,39,60,53,52,50,50,38,68,48,50,52,65,40,50,44,49,59
2016060102,53,69,40,55,57,58,55,49,39,56,66,54,49,49,37,58,57,42,55,61,43,59,48,48,69
2016060103,54,65,41,56,59,61,49,48,34,52,56,55,52,48,31,52,54,43,55,62,46,51,47,49,63
2016060104,53,58,44,54,62,63,51,50,37,54,63,59,50,47,29,51,50,39,55,54,48,45,45,39,57
2016060105,48,57,52,47,63,57,47,51,43,56,53,61,51,44,38,52,50,43,59,52,49,44,48,49,53
2016060106,52,47,56,48,52,56,46,51,44,63,53,60,50,44,30,52,57,42,58,52,45,41,51,51,54
2016060107,38,44,54,52,45,45,43,48,44,46,45,48,50,49,22,41,54,45,49,42,41,40,51,52,35
2016060108,44,49,40,45,45,42,41,41,37,40,31,35,51,41,27,49,55,51,37,40,41,23,44,45,43
2016060109,41,49,30,46,43,39,53,41,20,38,46,38,49,46,30,52,50,52,36,46,40,46,43,46,35
2016060110,34,43,28,41,41,35,50,40,20,26,42,40,46,36,34,43,49,36,34,43,35,42,37,44,42
2016060111,47,41,23,38,41,30,51,40,21,30,38,33,43,36,26,39,40,38,31,40,35,0,33,53,33
2016060112,35,36,25,41,39,30,0,33,21,30,34,35,41,32,24,37,35,46,32,44,34,52,33,47,33
2016060113,28,32,26,30,37,27,0,35,21,30,38,31,38,43,26,36,39,44,31,47,30,33,31,46,32
2016060114,0,34,28,40,42,29,61,35,24,37,39,45,42,38,28,40,39,37,35,0,33,45,33,49,35
2016060115,40,40,28,41,39,33,49,36,22,38,37,47,42,37,38,51,43,26,35,51,33,49,34,40,41
2016060116,36,32,25,54,40,33,53,37,20,30,32,34,42,38,44,53,38,32,34,56,33,45,32,40,43
2016060117,44,41,21,58,38,32,53,35,20,34,36,34,41,36,39,41,35,33,35,47,35,47,31,53,41
2016060118,41,41,25,48,42,43,44,37,24,42,36,35,37,36,39,55,37,34,37,50,37,50,30,41,37
2016060119,44,39,29,65,46,33,51,45,29,38,37,41,42,66,31,63,42,29,36,59,36,45,33,40,47
2016060120,46,48,22,62,42,32,41,49,20,33,39,54,29,38,36,55,30,30,29,46,35,39,31,39,36
2016060121,42,46,18,58,28,26,24,25,19,28,22,31,21,37,22,26,30,36,25,48,23,30,23,27,37
2016060122,34,29,20,61,29,26,39,25,21,36,35,22,24,31,32,46,26,24,38,50,27,31,21,28,30
2016060123,31,30,22,70,43,21,0,34,17,31,24,25,33,47,29,40,24,20,46,0,23,44,24,29,22
2016060124,28,31,25,74,49,19,0,39,18,24,20,25,31,43,27,47,22,18,50,0,19,41,17,32,27
2016060201,25,29,22,74,40,18,0,42,18,21,4,24,27,30,26,28,27,26,50,69,21,32,20,28,35
2016060202,28,30,17,50,26,20,39,31,13,26,24,20,21,20,28,24,26,19,38,34,20,24,20,20,20
2016060203,22,26,16,28,23,18,24,29,13,26,21,19,22,27,23,26,25,22,21,34,20,20,19,25,20
2016060204,25,25,17,25,23,17,21,20,13,17,26,19,23,25,21,22,21,19,19,32,18,17,20,24,22
2016060205,26,26,12,23,26,17,25,17,12,17,22,18,22,19,27,25,25,24,20,20,17,17,21,25,25
2016060206,21,24,0,24,23,16,24,20,12,21,23,20,23,17,25,32,19,23,20,32,21,20,14,19,18
2016060207,26,21,0,21,25,15,26,20,12,7,18,17,28,21,25,19,23,23,20,31,19,23,17,23,16
2016060208,24,27,12,26,22,14,28,20,11,22,17,17,29,18,22,26,25,32,22,21,19,31,17,24,13
2016060209,31,26,15,29,22,19,30,21,14,28,22,16,28,19,26,43,25,36,20,16,21,22,21,32,16
2016060210,21,30,13,30,26,28,38,19,14,19,29,19,27,21,40,38,30,36,21,31,23,0,23,22,26
2016060211,24,39,16,31,31,26,35,23,17,25,32,21,29,29,33,38,37,0,23,36,24,0,25,34,33
2016060212,33,33,21,36,31,26,35,25,19,27,29,22,31,32,30,47,30,0,24,46,28,41,28,34,29
2016060213,35,35,20,42,34,33,38,28,20,29,30,29,34,40,39,38,37,0,26,42,32,25,30,38,27
2016060214,35,0,21,65,50,28,63,38,22,39,35,30,47,47,63,52,39,25,39,61,35,54,36,39,39
2016060215,60,53,38,70,58,41,72,58,28,61,54,46,60,0,,0,52,0,49,73,51,67,48,72,53
2016060216,61,68,42,61,51,51,54,54,38,58,62,50,49,0,,0,60,0,45,72,45,66,39,52,53
2016060217,46,58,44,62,46,45,50,44,36,53,58,39,47,52,0,,56,44,42,56,42,59,42,57,50
2016060218,47,41,35,29,53,37,54,42,33,53,46,41,39,43,0,57,49,40,42,51,36,68,34,41,47
2016060219,46,35,35,57,58,32,49,46,31,47,40,47,47,49,60,61,50,34,46,70,36,54,34,44,41
2016060220,70,49,37,107,63,39,74,54,43,56,57,59,56,65,49,75,49,49,59,0,48,68,46,58,49
2016060221,68,72,37,91,55,55,68,55,39,48,56,59,51,86,63,105,51,81,47,98,49,52,47,67,53
2016060222,70,54,33,50,54,50,61,47,32,44,34,42,45,59,61,89,40,63,45,77,45,31,34,47,37
2016060223,64,49,31,38,48,35,54,41,28,40,29,41,37,34,59,78,30,50,33,57,33,43,28,35,32
2016060224,56,35,26,40,46,33,52,38,32,33,28,36,33,36,43,71,35,48,38,53,30,34,30,39,38
2016060301,48,52,25,49,43,36,47,34,32,43,41,33,38,40,45,70,38,43,42,59,31,58,29,39,54
2016060302,49,53,27,55,43,37,54,38,32,41,44,31,43,46,41,55,38,41,44,70,38,35,31,39,44
2016060303,43,49,28,48,53,37,63,42,30,35,53,33,44,52,42,51,46,39,53,65,38,42,34,50,50
2016060304,53,59,29,55,51,39,64,45,28,36,56,33,58,53,39,55,51,43,65,71,42,39,42,50,52
2016060305,50,58,30,52,40,46,41,39,28,43,55,40,41,48,46,54,51,45,76,48,39,49,48,47,54
2016060306,41,57,45,51,38,36,44,36,32,47,41,40,41,45,49,44,44,44,69,52,34,50,38,40,51
2016060307,42,44,39,38,40,38,40,40,36,37,33,40,43,35,31,29,45,38,59,45,33,48,35,36,36
2016060308,36,35,36,41,39,38,39,38,35,41,28,38,42,26,26,32,36,41,55,32,33,31,34,33,31
2016060309,39,40,36,41,46,42,38,44,31,34,33,35,40,43,41,48,40,41,47,32,40,35,40,44,37
2016060310,26,45,27,38,42,40,46,42,26,35,38,34,46,37,40,54,43,39,44,48,39,45,36,37,33
2016060311,40,40,26,49,46,39,51,37,26,33,41,35,49,44,58,42,44,39,40,51,46,40,39,45,39
2016060312,51,52,31,56,55,47,53,35,29,38,47,40,52,56,66,65,48,44,37,48,52,45,45,56,52
2016060313,50,54,36,47,47,54,54,36,30,42,54,41,47,52,73,65,48,48,35,40,44,35,49,59,52
2016060314,45,49,33,49,41,44,32,35,32,47,50,36,49,51,63,62,47,44,36,53,42,43,39,51,53
2016060315,37,46,35,0,40,42,38,32,32,43,45,31,46,49,64,68,46,41,38,33,43,38,44,47,51
2016060316,47,50,35,0,43,43,40,36,34,44,47,0,46,41,44,73,48,41,41,55,45,45,43,46,47
2016060317,43,45,30,54,44,43,44,40,32,45,48,37,50,49,37,86,48,34,42,65,46,52,46,53,45
2016060318,46,44,33,59,49,46,56,42,35,49,53,38,50,51,34,70,50,37,46,65,45,69,47,49,56
2016060319,59,55,39,57,51,46,62,48,38,58,55,42,43,55,48,83,53,40,39,60,45,55,47,59,55
2016060320,0,56,38,53,45,48,55,49,38,47,47,44,42,49,39,82,43,56,38,65,42,51,47,51,53
2016060321,0,66,40,67,48,49,62,42,35,50,46,41,45,68,45,90,51,49,41,66,41,66,48,50,49
