date,Gangnam-gu,Gangdong-gu,Gangbuk-gu,Gangseo-gu,Gwanak-gu,Gwangjin-gu,Guro-gu,Geumcheon-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Dongjak-gu,Mapo-gu,Seodaemun-gu,Seocho-gu,Seongdong-gu,Seongbuk-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu
2016090101,42,44,20,25,36,34,34,26,21,22,32,34,31,35,34,31,43,21,29,39,24,45,27,35,39
2016090102,35,40,21,37,34,33,37,27,21,33,30,31,32,28,35,23,41,26,26,40,22,31,27,38,38
2016090103,37,35,19,36,33,30,38,24,19,23,30,32,30,32,34,29,35,27,26,36,23,25,26,30,35
2016090104,35,33,20,28,32,28,34,22,16,26,24,31,27,28,32,23,33,21,26,38,24,21,22,29,35
2016090105,33,29,14,31,31,27,33,24,15,18,29,26,30,30,28,27,26,22,25,33,26,12,20,24,34
2016090106,32,28,14,41,32,29,33,19,17,19,27,27,26,19,27,22,30,17,25,41,26,19,21,24,29
2016090107,40,36,17,29,35,31,34,24,23,18,31,28,32,34,32,22,33,24,25,35,31,23,21,31,34
2016090108,46,48,25,39,43,36,41,43,23,22,34,36,46,53,43,33,33,24,33,38,37,36,28,37,39
2016090109,47,48,26,70,77,57,80,75,27,26,37,60,65,77,79,39,41,38,57,72,52,69,40,54,52
2016090110,80,83,40,0,76,75,106,71,33,0,62,69,81,76,94,59,58,74,77,94,75,86,53,77,61
2016090111,93,100,59,0,73,79,0,68,52,0,82,70,71,86,57,76,76,85,69,98,67,82,74,93,88
2016090112,87,107,73,0,74,76,0,68,61,0,86,64,71,101,60,82,92,98,68,104,72,79,72,106,76
2016090113,95,100,75,88,76,80,0,68,63,0,95,66,75,89,77,90,105,91,67,0,74,91,77,108,88
2016090114,103,112,75,94,75,83,0,73,66,0,89,70,78,104,80,90,104,92,64,0,74,99,76,107,91
