Date	Month	Sido	id	PM2.5	PM10	Total
2015	May	서울	Seoul	1	23	45	68
2015	May	부산	Busan	2	26	46	72
2015	May	대구	Daegu	3	26	46	72
2015	May	인천	Incheon	4	29	53	82
2015	May	광주	GwangJu	5	26	43	69
2015	May	대전	Daejeon	6	28	46	74
2015	May	울산	Ulsan	7	25	46	71
2015	May	경기도	Gyunggi-do	8	26	53	79
2015	May	강원도	Gangwon-do	9	26	50	76
2015	May	충북	Chungcheongbuk-do	10	30	51	81
2015	May	충남	Chungcheongnam-do	11	29	46	75
2015	May	전북	Jeollabuk-do	12	35	50	85
2015	May	전남	Jeollanam-do	13	25	38	63
2015	May	경북	Gyeongsangbuk-do	15	28	45	73
2015	May	경남	Gyeongsangnam-do	16	25	46	71
2015	May	제주	Jeju	17	23	44	67
