Date	Gu-gun	Si-do	id	PM2.5	PM10
06/14/2017	Seoul	Seoul	1	21	43
06/14/2017	Busan	Busan	2	31	51
06/14/2017	Daegu	Daegu	3	22	35
06/14/2017	Incheon	Incheon	4	13	42
06/14/2017	GwangJu	GwangJu	5	15	35
06/14/2017	Daejeon	Daejeon	6	13	46
06/14/2017	Ulsan	Ulsan	7	28	51
06/14/2017	Sejong	Sejong	8	10	45
06/14/2017	Gyunggi-do	Gyunggi-do	9	17	45
06/14/2017	Gangwon-do	Gangwon-do	10	19	37
06/14/2017	Chungcheongbuk-do	Chungcheongbuk-do	11	19	47
06/14/2017	Chungcheongnam-do	Chungcheongnam-do	12	13	38
06/14/2017	Jeollabuk-do	Jeollabuk-do	13	13	38
06/14/2017	Jeollanam-do	Jeollanam-do	14	14	43
06/14/2017	Gyeongsangbuk-do	Gyeongsangbuk-do	15	17	42
06/14/2017	Gyeongsangnam-do	Gyeongsangnam-do	16	19	26
06/14/2017	Jeju	Jeju	17	15	34
